id	route	name	reference	status	level	funding	duration	core_options	eqa	link	last_updated
179	Construction	Wireless communications rigger	ST0616	Approved for delivery	2	12000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/wireless-communications-rigger-v1-0	22/03/2019
180	Engineering and manufacturing	Materials process engineer (degree)	ST0659	Approved for delivery	7	17000	24	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/materials-process-engineer-(degree)-v1-0	22/03/2019
181	Health and science	Psychological wellbeing practitioner	ST0568	Approved for delivery	6	7000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/psychological-wellbeing-practitioner-v1-2	07/08/2020
182	Health and science	Hearing aid dispenser	ST0600	Approved for delivery	5	12000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/hearing-aid-dispenser-v1-0	15/03/2019
183	Health and science	Oral health practitioner	ST0542	Approved for delivery	4	9000	14	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/oral-health-practitioner-v1-0	07/03/2019
184	Creative and design	Cultural heritage conservation technician	ST0611	Approved for delivery	4	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/cultural-heritage-conservation-technician-v1-0	04/03/2019
185	Engineering and manufacturing	Process leader	ST0695	Approved for delivery	4	11000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/process-leader-v1-0	04/03/2019
186	Business and administration	Public sector compliance Investigator and officer	ST0708	Approved for delivery	3	4000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/public-sector-compliance-investigator-and-officer-v1-0	01/03/2019
187	Engineering and manufacturing	Manufacturing manager (integrated degree)	ST0515	Approved for delivery	6	24000	42	1	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/manufacturing-manager-(integrated-degree)-v1-0	22/02/2019
188	Sales, marketing and procurement	Funeral director	ST0584	Approved for delivery	3	4500	12	0	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/funeral-director-v1-0	18/02/2019
189	Sales, marketing and procurement	Funeral team member	ST0594	Approved for delivery	2	3000	12	1	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/funeral-team-member-v1-0	18/02/2019
190	Digital	IT solutions technician	ST0505	Approved for delivery	3	13000	18	1	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/it-solutions-technician-v1-0	18/02/2019
191	Health and science	Leisure team member	ST0390	Approved for delivery	2	5000	18	0	Chartered Institute for the Management of Sport and Physical Activity (CIMSPA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/leisure-team-member-v1-0	18/02/2019
192	Engineering and manufacturing	Water treatment technician	ST0453	Approved for delivery	3	15000	24	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/water-treatment-technician-v1-0	18/02/2019
193	Business and administration	Employability practitioner	ST0663	Approved for delivery	4	6000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/employability-practitioner-v1-0	18/02/2019
194	Transport and logistics	First officer pilot	ST0523	Approved for delivery	6	27000	24	0	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/first-officer-pilot-v1-0	18/02/2019
195	Creative and design	Fashion studio assistant	ST0173	Approved for delivery	3	8000	18	1	UK Fashion & Textile Association (UKFT)	https://www.instituteforapprenticeships.org/apprenticeship-standards/fashion-studio-assistant-v1-0	15/02/2019
196	Creative and design	Cultural learning and participation officer	ST0396	Approved for delivery	3	8000	15	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/cultural-learning-and-participation-officer-v1-0	14/02/2019
197	Health and science	Registered nurse degree (NMC 2018)	ST0781	Approved for delivery	6	27000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/registered-nurse-degree-(nmc-2018)-v1-0	13/02/2019
198	Sales, marketing and procurement	Bid and proposal co-ordinator	ST0056	Approved for delivery	3	8000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/bid-and-proposal-co-ordinator-v1-0	29/01/2019
199	Education and childcare	Assessor coach	ST0146	Approved for delivery	4	7000	15	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/assessor-coach-v1-0	29/01/2019
200	Education and childcare	Learning and skills teacher	ST0149	Approved for delivery	5	10000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/learning-and-skills-teacher-v1-0	29/01/2019
201	Education and childcare	Learning mentor	ST0148	Approved for delivery	3	5000	12	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/learning-mentor-v1-0	29/01/2019
202	Engineering and manufacturing	Lift and escalator electromechanic	ST0252	Approved for delivery	3	21000	36	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/lift-and-escalator-electromechanic-v1-0	29/01/2019
203	Business and administration	Improvement leader	ST0556	Approved for delivery	6	15000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/improvement-leader-v1-0	29/01/2019
204	Health and science	Bioinformatics scientist (degree)	ST0649	Approved for delivery	7	18000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/bioinformatics-scientist-(degree)-v1-0	29/01/2019
205	Engineering and manufacturing	Metal fabricator	ST0607	Approved for delivery	3	27000	42	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/metal-fabricator-v1-0	18/01/2019
206	Transport and logistics	Supply chain leadership professional (integrated degree)	ST0548	Approved for delivery	6	21000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/supply-chain-leadership-professional-(integrated-degree)-v1-0	24/12/2018
207	Business and administration	Library, information and archive services assistant	ST0664	Approved for delivery	3	6000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/library,-information-and-archive-services-assistant-v1-0	21/12/2018
208	Health and science	Pharmacy services assistant	ST0299	Approved for delivery	2	5000	12	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/pharmacy-services-assistant-v1-0	18/12/2018
209	Health and science	Physiotherapist (integrated degree)	ST0519	Approved for delivery	6	24000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/physiotherapist-(integrated-degree)-v1-0	18/12/2018
210	Transport and logistics	Marina and boatyard operative	ST0592	Approved for delivery	2	10000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/marina-and-boatyard-operative-v1-0	17/12/2018
211	Creative and design	Leather craftsperson	ST0460	Approved for delivery	2	5000	15	0	UK Fashion & Textile Association (UKFT)	https://www.instituteforapprenticeships.org/apprenticeship-standards/leather-craftsperson-v1-0	14/12/2018
212	Agriculture, environmental and animal care	Landscape or horticulture supervisor	ST0226	Approved for delivery	3	8000	36	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/landscape-or-horticulture-supervisor-v1-0	12/12/2018
213	Construction	Groundworker	ST0513	Approved for delivery	2	9000	18	0	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/groundworker-v1-1	27/05/2020
214	Health and science	Occupational therapist (integrated degree)	ST0517	Approved for delivery	6	24000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/occupational-therapist-(integrated-degree)-v1-0	07/12/2018
215	Hair and beauty	Nail services technician	ST0635	Approved for delivery	2	3500	12	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/nail-services-technician-v1-0	07/12/2018
216	Hair and beauty	Beauty and make up consultant	ST0636	Approved for delivery	2	3000	12	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/beauty-and-make-up-consultant-v1-0	07/12/2018
217	Health and science	Midwife (degree)	ST0794	Approved for delivery	6	27000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/midwife-(degree)-v1-0	05/12/2018
218	Transport and logistics	Maritime operations officer	ST0394	Approved for delivery	3	9000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/maritime-operations-officer-v1-0	04/12/2018
219	Construction	Hire controller (plant, tools and equipment)	ST0269	Approved for delivery	2	5000	12	0	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/hire-controller-(plant,-tools-and-equipment)-v1-0	04/12/2018
220	Protective services	Intelligence analyst	ST0516	Approved for delivery	4	11000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/intelligence-analyst-v1-0	30/11/2018
221	Creative and design	Live event technician	ST0255	Approved for delivery	3	12000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/live-event-technician-v1-0	30/11/2018
222	Sales, marketing and procurement	Retail leadership (integrated degree)	ST0547	Approved for delivery	6	22000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/retail-leadership-(integrated-degree)-v1-0	30/11/2018
223	Care services	Social worker (integrated degree)	ST0510	Approved for delivery	6	23000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/social-worker-(integrated-degree)-v1-0	30/11/2018
224	Construction	Wall and floor tiler	ST0368	Approved for delivery	2	9000	30	0	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/wall-and-floor-tiler-v1-0	23/11/2018
225	Agriculture, environmental and animal care	Animal trainer	ST0398	Approved for delivery	4	7000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/animal-trainer-v1-0	22/11/2018
226	Construction	Structural steelwork erector	ST0169	Approved for delivery	2	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/structural-steelwork-erector-v1-0	22/11/2018
227	Engineering and manufacturing	Engineering fitter	ST0432	Approved for delivery	3	21000	42	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/engineering-fitter-v1-0	20/11/2018
228	Construction	Engineering construction erector rigger	ST0433	Approved for delivery	3	18000	36	1	Engineering Construction Industry Training Board (ECITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/engineering-construction-erector-rigger-v1-0	08/11/2018
229	Construction	Floorlayer	ST0504	Approved for delivery	2	13000	30	1	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/floorlayer-v1-0	08/11/2018
230	Business and administration	Improvement specialist	ST0555	Approved for delivery	5	9000	14	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/improvement-specialist-v1-0	08/11/2018
231	Health and science	Regulatory affairs specialist	ST0586	Approved for delivery	7	21000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/regulatory-affairs-specialist-v1-0	08/11/2018
232	Transport and logistics	Waste resource operative	ST0545	Approved for delivery	2	6000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/waste-resource-operative-v1-0	08/11/2018
233	Sales, marketing and procurement	Advertising and media executive	ST0644	Approved for delivery	3	8000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/advertising-and-media-executive-v1-0	08/11/2018
234	Health and science	Prosthetic and orthotic technician	ST0632	Approved for delivery	3	9000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/prosthetic-and-orthotic-technician-v1-0	07/11/2018
235	Sales, marketing and procurement	Sales executive	ST0572	Approved for delivery	4	6000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/sales-executive-v1-0	02/11/2018
236	Health and science	Prosthetist or orthotist (integrated degree)	ST0601	Approved for delivery	6	24000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/prosthetist-or-orthotist-(integrated-degree)-v1-0	31/10/2018
237	Protective services	Security first line manager	ST0330	Approved for delivery	3	5000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/security-first-line-manager-v1-0	22/10/2018
238	Engineering and manufacturing	Mineral and construction product sampling and testing operations	ST0511	Approved for delivery	2	9000	14	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/mineral-and-construction-product-sampling-and-testing-operations-v1-0	17/10/2018
239	Engineering and manufacturing	Metal casting, foundry and patternmaking technician	ST0566	Approved for delivery	3	24000	27	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/metal-casting,-foundry-and-patternmaking-technician-v1-0	11/10/2018
240	Catering and hospitality	Production chef	ST0589	Approved for delivery	2	5000	12	0	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/production-chef-v1-0	11/10/2018
241	Hair and beauty	Beauty therapist	ST0630	Approved for delivery	2	7000	15	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/beauty-therapist-v1-0	11/10/2018
242	Engineering and manufacturing	Maritime mechanical and electrical mechanic	ST0276	Approved for delivery	2	12000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/maritime-mechanical-and-electrical-mechanic-v1-0	05/10/2018
243	Engineering and manufacturing	Fashion and textiles pattern cutter	ST0541	Approved for delivery	3	9000	22	0	UK Fashion & Textile Association (UKFT)	https://www.instituteforapprenticeships.org/apprenticeship-standards/fashion-and-textiles-pattern-cutter-v1-0	05/10/2018
244	Engineering and manufacturing	Specialist tyre operative	ST0498	Approved for delivery	2	12000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/specialist-tyre-operative-v1-0	05/10/2018
245	Engineering and manufacturing	Fashion and textiles product technologist	ST0540	Approved for delivery	4	9000	22	0	UK Fashion & Textile Association (UKFT)	https://www.instituteforapprenticeships.org/apprenticeship-standards/fashion-and-textiles-product-technologist-v1-0	04/10/2018
246	Construction	Industrial coatings applicator	ST0463	Approved for delivery	2	9000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/industrial-coatings-applicator-v1-0	27/09/2018
247	Construction	Structural steelwork fabricator	ST0099	Approved for delivery	2	5000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/structural-steelwork-fabricator-v1-0	27/09/2018
248	Creative and design	Broadcast and media systems engineer (integrated degree)	ST0426	Approved for delivery	6	24000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/broadcast-and-media-systems-engineer-(integrated-degree)-v1-0	24/09/2018
249	Digital	Cyber security technical professional (integrated degree)	ST0409	Approved for delivery	6	24000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/cyber-security-technical-professional-(integrated-degree)-v1-0	24/09/2018
250	Construction	Fencing installer	ST0366	Approved for delivery	2	7000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/fencing-installer-v1-0	24/09/2018
251	Sales, marketing and procurement	Marketing executive	ST0596	Approved for delivery	4	6000	15	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/marketing-executive-v1-0	24/09/2018
252	Sales, marketing and procurement	Marketing manager	ST0612	Approved for delivery	6	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/marketing-manager-v1-0	24/09/2018
253	Engineering and manufacturing	Motorcycle technician (repair and maintenance)	ST0376	Approved for delivery	3	11000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/motorcycle-technician-(repair-and-maintenance)-v1-1	27/07/2018
254	Health and science	Outdoor activity instructor	ST0479	Approved for delivery	3	6000	12	0	Institute for Outdoor Learning (IOL)	https://www.instituteforapprenticeships.org/apprenticeship-standards/outdoor-activity-instructor-v1-0	24/09/2018
255	Transport and logistics	Port operative	ST0307	Approved for delivery	2	8000	12	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/port-operative-v1-0	24/09/2018
256	Construction	Powered pedestrian door installer and service engineer	ST0373	Approved for delivery	2	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/powered-pedestrian-door-installer-and-service-engineer-v1-0	24/09/2018
257	Engineering and manufacturing	Risk and safety management professional (degree)	ST0465	Approved for delivery	7	19000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/risk-and-safety-management-professional-(degree)-v1-0	24/09/2018
258	Engineering and manufacturing	Engineering operative	ST0537	Approved for delivery	2	6000	12	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/engineering-operative-v1-0	24/09/2018
259	Engineering and manufacturing	Rail and rail systems engineer	ST0495	Approved for delivery	5	22000	24	1	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/rail-and-rail-systems-engineer-v1-0	24/09/2018
260	Agriculture, environmental and animal care	Stockperson (beef, pigs, sheep, dairy)	ST0017	Approved for delivery	2	10000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/stockperson-(beef,-pigs,-sheep,-dairy)-v1-0	13/09/2018
261	Construction	Demolition operative	ST0615	Approved for delivery	2	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/demolition-operative-v1-0	12/09/2018
262	Engineering and manufacturing	Propulsion technician	ST0588	Approved for delivery	4	21000	42	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/propulsion-technician-v1-0	05/09/2018
263	Engineering and manufacturing	Heritage engineering technician	ST0571	Approved for delivery	3	26000	42	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/heritage-engineering-technician-v1-0	23/08/2018
264	Health and science	Mammography associate	ST0583	Approved for delivery	4	5000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/mammography-associate-v1-0	22/08/2018
265	Engineering and manufacturing	Bicycle mechanic	ST0622	Approved for delivery	2	7000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/bicycle-mechanic-v1-0	22/08/2018
266	Digital	Data scientist (integrated degree)	ST0585	Approved for delivery	6	19000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/data-scientist-(integrated-degree)-v1-0	17/08/2018
267	Transport and logistics	Express delivery operative	ST0103	Approved for delivery	2	4000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/express-delivery-operative-v1-0	17/08/2018
268	Construction	Highways maintenance skilled operative	ST0053	Approved for delivery	2	9000	18	0	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/highways-maintenance-skilled-operative-v1-0	10/08/2018
269	Agriculture, environmental and animal care	Animal care and welfare assistant	ST0397	Approved for delivery	2	5000	12	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/animal-care-and-welfare-assistant-v1-1	20/11/2018
270	Construction	Formworker	ST0461	Approved for delivery	2	8000	18	0	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/formworker-v1-0	08/08/2018
271	Business and administration	Learning and development consultant business partner	ST0563	Approved for delivery	5	7000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/learning-and-development-consultant-business-partner-v1-0	08/08/2018
272	Business and administration	Learning and development practitioner	ST0562	Approved for delivery	3	6000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/learning-and-development-practitioner-v1-0	08/08/2018
273	Engineering and manufacturing	Mineral processing weighbridge operator	ST0145	Approved for delivery	2	6000	12	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/mineral-processing-weighbridge-operator-v1-0	08/08/2018
274	Health and science	Paramedic (degree)	ST0567	Approved for delivery	6	27000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/paramedic-(degree)-v1-0	08/08/2018
275	Health and science	Personal trainer	ST0302	Approved for delivery	3	4000	15	0	Chartered Institute for the Management of Sport and Physical Activity (CIMSPA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/personal-trainer-v1-0	08/08/2018
276	Agriculture, environmental and animal care	Poultry technician	ST0467	Approved for delivery	3	6000	18	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/poultry-technician-v1-0	08/08/2018
277	Legal, finance and accounting	Professional economist (integrated degree)	ST0603	Approved for delivery	6	23000	42	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/professional-economist-(integrated-degree)-v1-0	08/08/2018
278	Legal, finance and accounting	Internal audit professional	ST0610	Approved for delivery	7	17000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/internal-audit-professional-v1-0	08/08/2018
279	Engineering and manufacturing	Sewing machinist	ST0549	Approved for delivery	2	4000	12	0	UK Fashion & Textile Association (UKFT)	https://www.instituteforapprenticeships.org/apprenticeship-standards/sewing-machinist-v1-0	08/08/2018
280	Agriculture, environmental and animal care	Veterinary nurse	ST0343	Approved for delivery	3	15000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/veterinary-nurse-v1-1	11/10/2018
281	Engineering and manufacturing	Ordnance munitions and explosives (OME) professional (degree)	ST0574	Approved for delivery	6	24000	60	1	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/ordnance-munitions-and-explosives-(ome)-professional-(degree)-v1-0	08/08/2018
282	Digital	Digital and technology solutions specialist (integrated degree)	ST0482	Approved for delivery	7	21000	18	1	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/digital-and-technology-solutions-specialist-(integrated-degree)-v1-0	07/08/2018
283	Business and administration	Revenues and welfare benefits practitioner	ST0602	Approved for delivery	4	7000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/revenues-and-welfare-benefits-practitioner-v1-0	07/08/2018
284	Transport and logistics	Metal recycling general operative	ST0507	Approved for delivery	2	9000	12	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/metal-recycling-general-operative-v1-0	07/08/2018
285	Agriculture, environmental and animal care	Senior equine groom	ST0167	Approved for delivery	3	6000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-equine-groom-v1-0	07/08/2018
286	Health and science	Senior metrology technician	ST0283	Approved for delivery	5	21000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-metrology-technician-v1-0	07/08/2018
287	Health and science	Technician scientist	ST0597	Approved for delivery	5	20000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/technician-scientist-v1-0	07/08/2018
288	Transport and logistics	Workboat crewmember	ST0400	Approved for delivery	3	20000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/workboat-crewmember-v1-0	07/08/2018
289	Construction	Military engineering construction technician	ST0414	Approved for delivery	3	5000	18	1	Construction Industry Training Board (CITB)	https://www.instituteforapprenticeships.org/apprenticeship-standards/military-engineering-construction-technician-v1-1	16/07/2020
290	Agriculture, environmental and animal care	Crop technician	ST0018	Approved for delivery	3	15000	24	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/crop-technician-v1-0	19/07/2018
291	Engineering and manufacturing	Rail and rail systems senior engineer (degree)	ST0496	Approved for delivery	6	24000	36	1	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/rail-and-rail-systems-senior-engineer-(degree)-v1-0	13/07/2018
292	Sales, marketing and procurement	Junior estate agent	ST0329	Approved for delivery	2	4000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/junior-estate-agent-v1-0	11/07/2018
293	Care services	Children, young people and families manager	ST0087	Approved for delivery	5	6000	24	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/children,-young-people-and-families-manager-v1-0	29/06/2018
294	Care services	Children, young people and families practitioner	ST0088	Approved for delivery	4	6000	24	1	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/children,-young-people-and-families-practitioner-v1-0	29/06/2018
295	Construction	Asbestos analyst and surveyor	ST0022	Approved for delivery	3	12000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/asbestos-analyst-and-surveyor-v1-1	24/08/2020
296	Engineering and manufacturing	Automotive glazing technician	ST0031	Approved for delivery	3	9000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/automotive-glazing-technician-v1-0	28/06/2018
297	Transport and logistics	Cabin crew	ST0558	Approved for delivery	3	5000	12	0	People 1st International	https://www.instituteforapprenticeships.org/apprenticeship-standards/cabin-crew-v1-1	13/12/2019
298	Health and science	Clinical trials specialist (degree)	ST0609	Approved for delivery	6	26000	60	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/clinical-trials-specialist-(degree)-v1-0	28/06/2018
299	Health and science	Operating department practitioner (integrated degree)	ST0582	Approved for delivery	6	24000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/operating-department-practitioner-(integrated-degree)-v1-0	28/06/2018
300	Construction	Architect (integrated degree)	ST0533	Approved for delivery	7	21000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/architect-(integrated-degree)-v1-0	27/06/2018
301	Construction	Architectural assistant (integrated degree)	ST0534	Approved for delivery	6	21000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/architectural-assistant-(integrated-degree)-v1-0	27/06/2018
302	Engineering and manufacturing	Rail and rail systems principal engineer (integrated degree)	ST0497	Approved for delivery	7	24000	48	1	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/rail-and-rail-systems-principal-engineer-(integrated-degree)-v1-0	27/06/2018
303	Engineering and manufacturing	Packaging professional (degree)	ST0637	Approved for delivery	6	24000	48	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/packaging-professional-(degree)-v1-0	27/06/2018
304	Sales, marketing and procurement	Business to business sales professional (integrated degree)	ST0423	Approved for delivery	6	21000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/business-to-business-sales-professional-(integrated-degree)-v1-0	26/06/2018
